"BG_ID_10","TotalPop","PopDen","SexRatio","AgeU18","Age1834","Age3564","AgeO65","White","Black","Asian","Hispanic","TwoOrMore","EthHet","MedHouseIncome","PubAssist","FamPovPer","UnempRate","TotalHouseH","FamHousePer","FemHeadPer","LessThanHS","HSGrad","SomeColl","Bach","Master","Prof","Doc","CommuteLess10","Commute1030","Commute3060","Commute6090","CommuteOver90","ByCar","ByPubTrans","ByBike","ByWalk","TotalHouseUnits","VacantUnitPer","RentersPer","HomeOwnPer","MedGrossRent","MedHomeVal","MedYrBuiltRaw","MedYrBuilt","MedYrMovedInraw","MedYrRentMovedIn","MedYrOwnMovedIn"
"250010101001",938,109.171758782819,0.756554307116105,0.127931769722815,0.0863539445628998,0.571428571428571,0.291044776119403,0.82089552238806,0,0.0191897654584222,0.115138592750533,0.0447761194029851,0.312505398684312,51837,0,0.120772946859903,0.0757097791798107,552,0.375,0.328502415458937,0.0687645687645688,0.179487179487179,0.180652680652681,0.326340326340326,0.15967365967366,0.0384615384615385,0.0466200466200466,0.453887884267631,0.423146473779385,0.0452079566003617,0.0433996383363472,0.0343580470162749,0.606217616580311,0.0328151986183074,0.0673575129533679,0.202072538860104,1170,0.528205128205128,0.360507246376812,0.639492753623188,1065,515800,1965,"1960 to 1969",2004,2009,2001
"250010101002",289,564.769138136838,0.783950617283951,0,0.121107266435986,0.418685121107266,0.44636678200692,0.820069204152249,0.041522491349481,0.0311418685121107,0.107266435986159,0,0.313286478849631,48250,0,0,0,202,0.287128712871287,0,0.025830258302583,0.129151291512915,0.354243542435424,0.236162361623616,0.118081180811808,0.029520295202952,0.107011070110701,0.581818181818182,0.345454545454545,0.0727272727272727,0,0,0.544827586206897,0,0,0.213793103448276,974,0.792607802874743,0.158415841584158,0.841584158415842,943,583300,1958,"1950 to 1959",1995,1997,1995
"250010101003",755,4024.45399389165,0.814903846153846,0.154966887417219,0.0410596026490066,0.580132450331126,0.28476821192053,0.907284768211921,0.0384105960264901,0.0172185430463576,0.0119205298013245,0.0251655629139073,0.174920398228148,53750,0.0315533980582524,0.0483870967741935,0.0940919037199125,412,0.451456310679612,0.139784946236559,0.0611028315946349,0.23397913561848,0.22354694485842,0.265275707898659,0.171385991058122,0.0119225037257824,0.0327868852459016,0.344444444444444,0.552777777777778,0.0444444444444444,0.0361111111111111,0.0222222222222222,0.567632850241546,0,0.159420289855072,0.123188405797101,666,0.381381381381381,0.237864077669903,0.762135922330097,850,460000,1949,"1940 to 1949",2001,2007,1995
"250010101004",499,2015.06139154161,1.21777777777778,0.102204408817635,0.0761523046092184,0.591182364729459,0.204408817635271,0.871743486973948,0.0180360721442886,0.0120240480961924,0.00601202404809619,0.0921843687374749,0.239557270854334,28182,0,0,0.169082125603865,300,0.346666666666667,0.0673076923076923,0.0720524017467249,0.0764192139737991,0.331877729257642,0.281659388646288,0.109170305676856,0.0982532751091703,0.0305676855895196,0.376,0.568,0,0,0.056,0.339622641509434,0,0,0.446540880503145,863,0.652375434530707,0.48,0.52,1094,357100,1955,"1950 to 1959",2006,2010,2003
"250010101005",481,3641.70247595662,0.864341085271318,0.0374220374220374,0.106029106029106,0.673596673596674,0.153846153846154,0.785862785862786,0.079002079002079,0.0873180873180873,0.027027027027027,0.0207900207900208,0.367823444746522,34091,0.0238095238095238,0.197183098591549,0.100649350649351,336,0.211309523809524,0.408450704225352,0.0945945945945946,0.290540540540541,0.256756756756757,0.211711711711712,0.0585585585585586,0.0675675675675676,0.0202702702702703,0.495283018867925,0.462264150943396,0,0,0.0424528301886792,0.348659003831418,0,0.149425287356322,0.260536398467433,834,0.597122302158273,0.375,0.625,1155,581300,1939,"Prior to 1940",2005,2011,1999
"250010102061",651,88.3657593727561,1.39338235294118,0.19047619047619,0.0660522273425499,0.420890937019969,0.308755760368664,0.924731182795699,0.0491551459293395,0.010752688172043,0.0153609831029186,0,0.14210443108912,31563,0,0,0.0940766550522648,328,0.673780487804878,0.199095022624434,0.0459558823529412,0.21875,0.176470588235294,0.189338235294118,0.294117647058824,0.0606617647058824,0.0147058823529412,0.0714285714285714,0.634920634920635,0.222222222222222,0.00793650793650794,0.0634920634920635,0.315068493150685,0,0.10958904109589,0.114155251141553,977,0.664278403275333,0.0518292682926829,0.948170731707317,NA,471300,1979,"1970 to 1979",1998,NA,1997
"250010102062",1240,201.516898436826,1.08754208754209,0.193548387096774,0.123387096774194,0.366935483870968,0.358870967741935,0.9,0.0266129032258065,0,0,0.0733870967741935,0.189291753381894,57583,0.0472972972972973,0,0.151862464183381,592,0.533783783783784,0.180379746835443,0.0499001996007984,0.226546906187625,0.216566866267465,0.210578842315369,0.210578842315369,0.0698602794411178,0.0159680638722555,0.268336314847943,0.493738819320215,0.223613595706619,0,0.0143112701252236,0.792452830188679,0.0617495711835334,0.0188679245283019,0.072041166380789,1657,0.642727821363911,0.231418918918919,0.768581081081081,1100,484900,1972,"1970 to 1979",1996,2011,1994
"250010102063",1277,203.599543755007,1.31760435571688,0.214565387627251,0.0595144870790916,0.454189506656226,0.328112764291308,0.949882537196554,0.0101801096319499,0.0399373531714957,0,0,0.0960245387185731,65395,0.043613707165109,0.0453257790368272,0.0906630581867388,642,0.549844236760125,0.252124645892351,0.012275731822474,0.181303116147309,0.23890462700661,0.336166194523135,0.186024551463645,0.00755429650613787,0.0377714825306893,0.397610921501706,0.450511945392491,0.0870307167235495,0.0136518771331058,0.0511945392491468,0.852678571428571,0,0.0193452380952381,0,1863,0.655394524959742,0.149532710280374,0.850467289719626,835,5e+05,1981,"1980 to 1989",2000,2007,1997
"250010102081",534,110.410826209962,0.880281690140845,0.101123595505618,0.119850187265918,0.430711610486891,0.348314606741573,0.973782771535581,0,0,0.0243445692883895,0.00187265917602996,0.051154455806646,65769,0,0,0.0218181818181818,288,0.402777777777778,0.0862068965517241,0.0984682713347921,0.170678336980306,0.240700218818381,0.172866520787746,0.258205689277899,0.0328227571115974,0.0262582056892779,0.0972222222222222,0.523148148148148,0.25462962962963,0.0601851851851852,0.0648148148148148,0.802973977695167,0,0,0,1096,0.737226277372263,0.128472222222222,0.871527777777778,879,562500,1982,"1980 to 1989",1996,2004,1995
"250010102082",386,72.2258059552227,0.939698492462312,0.323834196891192,0.0155440414507772,0.507772020725389,0.357512953367876,1,0,0,0,0,0,43092,0,0.147826086956522,0.0788177339901478,177,0.649717514124294,0,0.0924092409240924,0.211221122112211,0.191419141914191,0.333333333333333,0.125412541254125,0.0099009900990099,0.0363036303630363,0.13768115942029,0.86231884057971,0,0,0,0.884615384615385,0,0,0,1030,0.828155339805825,0.107344632768362,0.892655367231638,NA,548200,1962,"1960 to 1969",2003,NA,2002
